title,city,country,apartment_type,district,guests,bedrooms,beds,baths,amenities,price,rating,reviews,is_superhost,listing_url,image_url
Royal Residence Wiener Sängerknaben,Vienna,Austria,Entire apartment,Leopoldstadt,7,2,4,2 baths,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",155,4.79,14,FALSE,https://www.airbnb.com/rooms/43949797?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/ec8cdf39-93b8-4945-96ee-797287a8f9b7.jpg?im_w=720
:),Vienna,Austria,Entire apartment,Favoriten,3,1,2,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",58,4.4,128,FALSE,https://www.airbnb.com/rooms/36102794?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/82654a23-f4d8-4b9f-9d2a-e372302038a6.jpg?im_w=720
Neu renovierte Altbauwohnung Nähe Zentrum & Parken,Vienna,Austria,Entire apartment,Alsergrund,4,1,2,1.5 baths,"['Wifi', 'Kitchen', 'Heating']",86,4.89,27,TRUE,https://www.airbnb.com/rooms/37824882?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/dd48fa2c-2b01-4c78-a772-754625564396.jpg?im_w=720
Mari's Studio-Apartment,Vienna,Austria,Entire apartment,Neubau,2,1,1,1 bath,"['Wifi', 'Kitchen', 'Heating']",69,4.81,36,TRUE,https://www.airbnb.com/rooms/42736800?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/993dd164-2147-43dd-82ea-fb078a0979c9.jpg?im_w=720
Exclusive Suite Universitaet Wien,Vienna,Austria,Entire apartment,Innere Stadt,5,2,3,1.5 baths,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",135,4.75,16,FALSE,https://www.airbnb.com/rooms/43949124?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/dfdb3d90-26d2-4fc7-bebe-f5e83f200810.jpg?im_w=720
Cozy Apartment close to Schönbrunn,Vienna,Austria,Entire apartment,Meidling,3,1,2,1 bath,"['Wifi', 'Kitchen', 'Heating']",67,,,FALSE,https://www.airbnb.com/rooms/32334725?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/miso/Hosting-32334725/original/05db8332-7102-445a-864d-d2a3473662b9.jpeg?im_w=720
Modern City Apartment with a View,Vienna,Austria,Entire apartment,Innere Stadt,4,1,1,1.5 baths,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",100,4.79,76,TRUE,https://www.airbnb.com/rooms/30804585?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/5bfea551-b539-489a-b35a-0a92334de58f.jpg?im_w=720
☆Shining Apartment in Heart of Vienna near Metro!,Vienna,Austria,Entire apartment,Brigittenau,6,2,3,1.5 baths,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",44,4.06,16,TRUE,https://www.airbnb.com/rooms/45331973?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/74908cad-c088-42bc-9906-20c2a2f747aa.jpg?im_w=720
Vienna's Nº1 chestnut-a beauty at perfect location,Vienna,Austria,Entire apartment,Landstraße,4,1,2,1 bath,"['Hosted by a business', 'Wifi', 'Kitchen', 'Self check-in']",87,4.98,63,TRUE,https://www.airbnb.com/rooms/38451706?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/4799db7e-1bf3-4561-bc56-b8d0bdaa1d0f.jpg?im_w=720
Schöne Altbauwohnung,Vienna,Austria,Entire apartment,Döbling,4,1,4,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",62,5,62,TRUE,https://www.airbnb.com/rooms/32134370?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/4ba12b47-429a-421e-86b4-79697fc85cfb.jpg?im_w=720
🤍Warm and Cosy Flat in Heart of Vienna near Metro🤍,Vienna,Austria,Entire apartment,Leopoldstadt,8,2,4,1.5 baths,"['Wifi', 'Kitchen', 'Heating']",55,3.36,14,FALSE,https://www.airbnb.com/rooms/45269087?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=1c0e8bd9-c433-42c6-ad39-49b59d638c59,https://a0.muscache.com/im/pictures/5bb71748-a71d-43b7-b2da-3684ce0003fd.jpg?im_w=720
