title,city,country,apartment_type,district,guests,bedrooms,beds,baths,amenities,price,rating,reviews,is_superhost,listing_url,image_url
OLD TOWN spacy apartment,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",78,4.97,112,TRUE,https://www.airbnb.com/rooms/41527214?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/7299dc7e-a8c1-4e7b-b3b2-d8a6804f167b.jpg?im_w=720
HEART OF OLD TOWN - TRAKU STUDIO,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",26,4.65,211,FALSE,https://www.airbnb.com/rooms/12829595?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/90555ad6-3fd7-4e1d-b8a5-b0ec96d7ce16.jpg?im_w=720
"Happy Inn Presidential, Self check-in, parking",Vilnius,Lithuania,Entire serviced apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",59,4.95,22,TRUE,https://www.airbnb.com/rooms/34949662?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/f2c3b2a2-c7d8-4580-8eb6-c42833b74681.jpg?im_w=720
LITTLE TOWER STUDIO apartment in Vilnius Old Town,Vilnius,Lithuania,Entire loft,Vilnius,3,Studio,1,1.5 baths,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",57,4.98,53,TRUE,https://www.airbnb.com/rooms/46920144?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/4716f353-4e3f-44a6-b565-5c0fb02faa91.jpg?im_w=720
Cozy and spacious apartment in old town,Vilnius,Lithuania,Entire apartment,Vilnius,6,1,3,1 bath,"['Kitchen', 'Wifi', 'Free parking']",48,4.86,139,TRUE,https://www.airbnb.com/rooms/18193024?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/65973bd9-21e6-470d-b03d-a0639ab0f106.jpg?im_w=720
Cozy Beautiful Studio in Vilnius Center,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,2,1 bath,"['Kitchen', 'Wifi', 'Free parking']",28,,,FALSE,https://www.airbnb.com/rooms/49421154?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/288d82e5-0e36-4dd1-914a-ea88e1856594.jpg?im_w=720
⥣3 bdr+free parking+24H self check-in+A/c+centre⥣,Vilnius,Lithuania,Entire apartment,Vilnius,6,3,3,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",99,4.96,157,TRUE,https://www.airbnb.com/rooms/30764240?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/44686020-4b1c-4d12-9a06-fd7083141348.jpg?im_w=720
555 Loft FITL (free internet throughout Lithuania),Vilnius,Lithuania,Entire loft,Vilnius,3,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",31,4.93,82,TRUE,https://www.airbnb.com/rooms/37458265?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/1902b68f-57de-446e-b17b-dcd5fbc8f827.jpg?im_w=720
Old town Food Market studio + free parking,Vilnius,Lithuania,Entire apartment,Vilnius,2,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",41,4.76,220,FALSE,https://www.airbnb.com/rooms/26444334?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/74408270-a8e5-44bb-a576-16ac9ba77cf7.jpg?im_w=720
Luxury apartment near cathedral1,Vilnius,Lithuania,Entire apartment,Vilnius,4,Studio,2,1 bath,"['Kitchen', 'Wifi', 'Free parking']",61,4.89,91,TRUE,https://www.airbnb.com/rooms/34776757?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/b6f78b13-1f52-4cd9-a9b9-2e6ac6e65615.jpg?im_w=720
COSY sauna house romantic getaway 14km fromVilnius,Vilnius,Lithuania,Tiny house,Vilniaus rajono savivaldybė,2,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",135,4.91,35,TRUE,https://www.airbnb.com/rooms/46543418?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/eb918b31-d916-4bda-bf9e-7289676bf806.jpg?im_w=720
"Happy InnSide, Self check-in+free parking in yard",Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",63,5,45,TRUE,https://www.airbnb.com/rooms/22466519?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/65055b39-9660-40a6-84d2-adb053cc3ece.jpg?im_w=720
Center Studio 10B,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",44,4.85,74,TRUE,https://www.airbnb.com/rooms/30489889?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/04763e40-adcd-437a-83c9-f6c9a5bea58c.jpg?im_w=720
Explore Vilnius Old-Town from spacious apartment,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,1,1.5 baths,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",41,4.66,137,FALSE,https://www.airbnb.com/rooms/32027206?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/2ce7facd-0567-402e-add8-3d64f8b0720f.jpg?im_w=720
New Unique XVI century 1 bdr Old Town.Free parking,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",56,4.92,214,TRUE,https://www.airbnb.com/rooms/24976159?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/8617a4cf-c7f4-405b-aff0-bb784f0b5801.jpg?im_w=720
Modern Studio in a Great Location,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",40,4.91,123,TRUE,https://www.airbnb.com/rooms/24027910?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/1f224775-6172-4788-a5eb-b9001fa58fe3.jpg?im_w=720
Center Apartment 10A,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",47,4.94,71,TRUE,https://www.airbnb.com/rooms/30488767?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/a38379a1-88f4-4604-9470-98c0269da759.jpg?im_w=720
Elegant Traku str. Courtyard 1 BDR,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",62,4.92,12,TRUE,https://www.airbnb.com/rooms/47064734?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/miso/Hosting-47064734/original/036352dc-05bf-4ac2-80e6-94241ba785e1.jpeg?im_w=720
Comfortable apartment in Central,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking']",34,4.77,171,FALSE,https://www.airbnb.com/rooms/5467820?adults=1&children=0&infants=0&check_in=2021-06-11&check_out=2021-06-13&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/74223821/0adeab15_original.jpg?im_w=720
Central residence | New | City center + Parking,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",80,5,53,TRUE,https://www.airbnb.com/rooms/24598401?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=8883aa1a-f1eb-46aa-947c-cd3dc787383e,https://a0.muscache.com/im/pictures/ba5acc33-1f29-4b00-993c-31f60f34e786.jpg?im_w=720
Secret Lounge - Cozy Studio with Sauna and Jacuzzi,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1.5 baths,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",93,4.76,87,TRUE,https://www.airbnb.com/rooms/12772907?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/231e458c-bc9a-4e46-8064-6147c655ee8a.jpg?im_w=720
Central Amazing City View Šeimyniškių Studio,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",30,4.92,122,TRUE,https://www.airbnb.com/rooms/33205462?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/5c16fd47-68a1-41ab-ac5c-ae4220a92e91.jpg?im_w=720
Gyneju apartments 4,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi']",28,4.72,134,FALSE,https://www.airbnb.com/rooms/15905755?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/3b318dec-aee5-47ec-b27c-12e554a97274.jpg?im_w=720
Coffeeshops street Apartment,Vilnius,Lithuania,Entire apartment,Vilnius,2,1,1,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",55,4.9,227,TRUE,https://www.airbnb.com/rooms/12054429?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/a70a0701-531d-4081-ab79-1a7225c78a4a.jpg?im_w=720
Wooden sauna house only 25km from Vilnius,Vilnius,Lithuania,Entire cabin,Brinkiškės,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Free parking']",59,5,70,TRUE,https://www.airbnb.com/rooms/25218569?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/e0fa3a61-1236-4fa1-8ec9-88087874c99f.jpg?im_w=720
"Happy Inn Gold Studio, self check-in, parking",Vilnius,Lithuania,Entire apartment,Vilnius,3,1,2,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",42,5,16,TRUE,https://www.airbnb.com/rooms/34293245?adults=1&children=0&infants=0&check_in=2021-06-11&check_out=2021-06-13&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/8f4b9b09-af9e-4c34-9c71-0bb7effd5e80.jpg?im_w=720
City View Apartment 57,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",58,4.91,45,TRUE,https://www.airbnb.com/rooms/29589583?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/493924c2-7a3e-4c98-a95a-636cc7023f9c.jpg?im_w=720
Cosy studio flat in Vilnius oldtown,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",26,4.74,265,FALSE,https://www.airbnb.com/rooms/24545870?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/469bc87d-4070-4cdc-a44a-507ddc94d01a.jpg?im_w=720
Two-floor Apartment - Skyscraper Area - GREAT VIEW,Vilnius,Lithuania,Entire apartment,Vilnius,6,2,3,1.5 baths,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",76,4.97,104,TRUE,https://www.airbnb.com/rooms/31210086?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/163a5b8d-714c-4fe3-b947-156e812533d8.jpg?im_w=720
FRIDA KAHLO 🖤 CASA AZUL Old Town Residence,Vilnius,Lithuania,Entire apartment,Vilnius,3,1,1,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",98,4.97,35,TRUE,https://www.airbnb.com/rooms/34821312?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/166989d5-e262-40cb-b4d7-96a84073b39f.jpg?im_w=720
Apartament with a view to the city center+Parking,Vilnius,Lithuania,Entire apartment,Vilnius,4,3,3,1.5 baths,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",45,5,29,TRUE,https://www.airbnb.com/rooms/24274705?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/19bc33cb-c056-4b12-99fa-9311582abb83.jpg?im_w=720
Exclusive Penthouse Apartment with amazing view.,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking']",93,5,64,TRUE,https://www.airbnb.com/rooms/30128814?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/miso/Hosting-30128814/original/bd9ff979-4373-4d9d-9d51-7d1b9339682b.jpeg?im_w=720
Medieval House Studio Loft,Vilnius,Lithuania,Entire apartment,Vilnius,6,Studio,4,1 bath,"['Wifi', 'Self check-in']",18,4.18,281,FALSE,https://www.airbnb.com/rooms/1921843?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/81648435/9ac1003a_original.jpg?im_w=720
Studio close to the Old Town and station,Vilnius,Lithuania,Entire apartment,Vilnius,3,1,2,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",31,4.95,199,TRUE,https://www.airbnb.com/rooms/23403560?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/e6c7290b-40ae-4825-9170-776c790fed8f.jpg?im_w=720
"Jogailos Residence: 3bdrm OldTown luxury, FREEpark",Vilnius,Lithuania,Entire apartment,Vilnius,6,3,4,2 baths,"['Kitchen', 'Wifi', 'Free parking']",193,5,5,TRUE,https://www.airbnb.com/rooms/43540120?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/62a32374-0a7a-4a5e-9440-ba3103c84ae3.jpg?im_w=720
Amethyst Old Town apartments,Vilnius,Lithuania,Entire apartment,Vilnius,2,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",46,4.92,63,TRUE,https://www.airbnb.com/rooms/43754451?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/680145e7-8497-4580-9067-aa6d45254121.jpg?im_w=720
Heart of 'Hipster' street studio + free parking,Vilnius,Lithuania,Entire apartment,Vilnius,2,1,1,1.5 baths,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",34,4.86,177,FALSE,https://www.airbnb.com/rooms/30721968?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/01c14b1f-a999-4bcd-9190-9ca2ad50a3a1.jpg?im_w=720
"Cozy, stylish, brand new apartment next to Oldtown",Vilnius,Lithuania,Entire apartment,Vilnius,3,1,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",58,4.89,81,TRUE,https://www.airbnb.com/rooms/22836923?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/1ee0d722-8f10-4639-8afb-36c6b9c2f630.jpg?im_w=720
Stylish apartment in old town of Vilnius,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking']",53,5,61,TRUE,https://www.airbnb.com/rooms/31349474?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/d908c4ff-d2eb-48c9-a1a2-a1695ddc6c2c.jpg?im_w=720
Gyneju 1,Vilnius,Lithuania,Room,serviced apartment,2,Studio,0,1 private bath,"['Kitchen', 'Wifi']",24,4.71,136,FALSE,https://www.airbnb.com/rooms/16008616?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a07e3419-25bc-45d6-8912-996dd76d9a4e,https://a0.muscache.com/im/pictures/96277a39-9a30-4eaf-84f2-5d89f44b7656.jpg?im_w=720
"Luxury, comfort & quiet place next to Cathedral",Vilnius,Lithuania,Entire apartment,Vilnius,5,2,2,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",97,5,17,TRUE,https://www.airbnb.com/rooms/23071673?adults=1&children=0&infants=0&check_in=2021-06-18&check_out=2021-06-20&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/7e1babb5-6abe-4d83-8a72-2ef1624d85b7.jpg?im_w=720
Apartment in Vilnius Old Town,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking']",46,4.83,13,FALSE,https://www.airbnb.com/rooms/7555202?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/36a6a9ef-003d-481b-8676-116d9fb5486a.jpg?im_w=720
Standard suite - Amber Suites Stikliu 20,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,['Wifi'],41,4.88,41,TRUE,https://www.airbnb.com/rooms/45680723?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/58fa4a86-f844-4294-ae0a-f92d241f29bd.jpg?im_w=720
Morta Luxury Terrace Apartment,Vilnius,Lithuania,Entire apartment,Vilnius,2,1,1,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",52,4.85,131,TRUE,https://www.airbnb.com/rooms/12053704?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/47b4bf6e-482c-4334-a318-0d31e9cfac0d.jpg?im_w=720
Sun Lighted Cathedral Square Studio #5,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",51,4.7,27,TRUE,https://www.airbnb.com/rooms/32830159?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/miso/Hosting-32830159/original/6c32be1a-1ffb-4e7b-a123-3a0ddc33023f.jpeg?im_w=720
Vilnius centre modern Loft with all amenities,Vilnius,Lithuania,Entire loft,Vilnius,4,Studio,3,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",34,4.88,150,TRUE,https://www.airbnb.com/rooms/18161881?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/14ac4392-fcd9-4c52-b1ba-9f3650b1b543.jpg?im_w=720
5 STAR DOWNTOWN APARTMENT,Vilnius,Lithuania,Entire apartment,Vilnius,2,1,1,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",39,4.79,118,TRUE,https://www.airbnb.com/rooms/22620754?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/be680ba6-4b40-46c6-a199-93c7d8624d04.jpg?im_w=720
Bomb Shelter apartment VLN(central),Vilnius,Lithuania,Cave,Vilnius,14,3,7,2 baths,"['Kitchen', 'Wifi', 'Free parking']",170,4.88,288,FALSE,https://www.airbnb.com/rooms/5840109?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/72775716/2ee2d2fc_original.jpg?im_w=720
Central Budget Studio in Piromontas,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",24,4.92,134,TRUE,https://www.airbnb.com/rooms/26174108?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/aeba66e3-f82c-40e2-820f-228ee0143987.jpg?im_w=720
"Vilnius Old Town, Happiness + Free parking",Vilnius,Lithuania,Entire apartment,Vilnius,8,2,4,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",53,4.78,203,FALSE,https://www.airbnb.com/rooms/16513602?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/0a32e015-c47b-403c-8577-4bbf7b9be701.jpg?im_w=720
Old Town apartment near Vilnius str.,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",71,5,22,TRUE,https://www.airbnb.com/rooms/33285805?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/fa6086ce-5900-4be5-943a-66f02d1befd5.jpg?im_w=720
Amazing VILNIUS OLD TOWN apartment!,Vilnius,Lithuania,Entire apartment,Vilnius,2,Studio,1,1 bath,"['Wifi', 'Self check-in']",32,4.67,135,FALSE,https://www.airbnb.com/rooms/10313876?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/6c14d641-7b35-458d-83e0-f1c24e1fe078.jpg?im_w=720
Cozy two rooms apartment in Vilnius Oldtown,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,2,1 bath,"['Kitchen', 'Wifi', 'Free parking']",35,4.85,327,TRUE,https://www.airbnb.com/rooms/194426?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/7298260e-485f-4d0c-948d-46f60993b50f.jpg?im_w=720
Mini Home in Vilnius Old Town S2,Vilnius,Lithuania,Entire apartment,Vilnius,3,1,1,1 bath,"['Kitchen', 'Wifi', 'Self check-in']",38,4.81,103,TRUE,https://www.airbnb.com/rooms/21006147?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/63cda3ab-ec75-42aa-8097-d0cb946a25fa.jpg?im_w=720
🍇 TOMY Apartment in Old Town,Vilnius,Lithuania,Entire apartment,Vilnius,4,1,3,1 bath,"['Kitchen', 'Wifi', 'Free parking', 'Self check-in']",59,4.96,24,TRUE,https://www.airbnb.com/rooms/16036758?adults=1&children=0&infants=0&check_in=2021-05-14&check_out=2021-05-16&previous_page_section_name=1000&federated_search_id=60bf2106-7b7c-449c-ac5e-d7fa78850d8a,https://a0.muscache.com/im/pictures/15fd4925-f6c4-4ac3-82b4-d3caeb030eaa.jpg?im_w=720
